"ein","parent_ein","acronym","name"
"0002","002","","Mayor's Office"
"002A","002","","Design Commission"
"002B","002","","Mayor's Advisory Committee on the Judiciary"
"002C","002","","Mayor's Committee on City Marshals"
"002D","002","","Mayor's Fund to Advance NYC"
"002E","002","","Mayor's Office for International Affairs"
"002F","002","","Mayor's Office for People with Disabilities"
"002G","002","","Mayor's Office of Appointments"
"002H","002",MOCS,"Mayor's Office of Contract Services"
"002I","002",MOCJ,"Mayor's Office of Criminal Justice"
"002J","002","","Mayor's Office of Data Analytics"
"002K","002","","Mayor's Office of Environmental Remediation"
"002L","002","","Mayor's Office of Intergovernmental Affairs"
"002M","002","","Mayor's Office of Media and Entertainment"
"002N","002","","Mayor's Office of Operations"
"002O","002","","Mayor's Office of Special Projects & Community Events"
"002P","002","","Mayor's Office of Sustainability"
"002Q","002","","Mayor's Office of Technology and Innovation"
"002R","002","",Mayor's Office of Workforce Development
"002S","002","","Mayor's Office to Combat Domestic Violence"
"002T","002","",Office of Long-Term Planning & Sustainability
"0003","003","","Board of Elections"
"0008","008","",NYC Office of the Actuary
"0017","017",NYCEM,"NYC Office of Emergency Management"
"0019","019",OMB,"Office of Management and Budget"
"0025","025","",Law Department
"0030","030",DCP,"Department of City Planning"
"032A","032","","Commission to Combat Police Corruption"
"0032","032","","Department of Investigation"
"0040","040","","Department of Education"
"0044","044","",School Construction Authority
"0054","054","","Civilian Complaint Review Board"
"0056","056","","New York City Police Department"
"0057","057","","New York City Fire Department"
"0059","059","","Board of Standards and Appeals"
"0067","067","","Administration for Children's Services"
"0069","069","","Human Resources Administration"
"0071","071","","Department of Homeless Services"
"0072","072","","Department of Correction"
"0073","073","","Board of Correction"
"0102","102","","New York City Council"
"0113","113","","Equal Employment Practices Commission"
"0125","125","","Department for the Aging"
"0126","126","","Department of Cultural Affairs"
"0127","127","","Financial Information Services Agency"
"0131","131","","Office of Payroll Administration"
"0134","134","","Civil Service Commission"
"0136","136","","Landmarks Preservation Commission"
"0156","156","","Taxi and Limousine Commission"
"0214","214","","NYC Office of Labor Relations"
"0226","226","",NYC Commission on Human Rights
"0260","260","","Department of Youth and Community Development"
"0312","312","","Conflicts of Interest Board"
"0781","781","","Department of Probation"
"0801","801","","Department of Small Business Services"
"0806","806","","Department of Housing Preservation and Development"
"0810","810","","Department of Buildings"
"0816","816","","Department of Health and Mental Hygiene"
"816A","816","",NYC Office of the Chief Medical Examiner
"0820","820","","Office of Administrative Trials and Hearings"
"0826","826","","Department of Environmental Protection"
"826A","826","","Housing Recovery Operations"
"0827","827","","Department of Sanitation"
"0831","831","","Business Integrity Commission"
"0836","836","","Department of Finance"
"0841","841","","Department of Transportation"
"0846","846","","Department of Parks and Recreation"
"0850","850","","Department of Design and Construction"
"0858","858","","Department of Information Technology and Telecommunications"
"0860","860","","Department of Records and Information Services"
"0866","866","","Department of Consumer Affairs"
"0868","868","","Department of Citywide Administrative Services"
"0906","906","","NYC Office of the Special Narcotics Prosecutor"
"0996","996","","New York City Housing Authority"
